,Group name,No. of paths,TL,PPR (PP),PPR (Det),PPR,Consumption,PPR/consumption,PPR/TotPP (%),PPR/u. biom
1,Large sharks,531703,4.17,1178,442.7,1620,0.0999,16219,41.44,7.675
2,Barracudas,115897,4.14,248.7,53.73,302.4,0.19,1588,7.734,1.422
3,Australian Sea Lion,199393,3.974,628.8,132.2,761,0.212,3583,19.46,22.63
4,Bottlenose Dolphin,84264,3.736,166.4,159.4,325.8,1.783,182.7,8.333,1.013
5,Tailors,65150,3.665,530.2,55.18,585.4,3.491,167.7,14.97,0.836
6,Cormorants,34228,3.585,192.2,56.12,248.3,2.249,110.4,6.351,1.628
7,Squids,4759,3.589,526.3,545.3,1072,21.99,48.72,27.41,0.207
8,Australian Pelican,18419,3.407,60.47,9.209,69.68,1.329,52.42,1.782,0.938
9,Gulls and Terns,212,3.348,12.43,2.387,14.82,0.711,20.85,0.379,0.373
10,Little Penguin,8695,3.331,1.82,0.413,2.233,0.0623,35.84,0.0571,0.276
11,Scaly Mackerel,4249,3.371,32.42,11.74,44.16,2.219,19.9,1.129,0.0876
12,Small sharks,35971,3.304,134.7,116.3,251,0.0059,42543,6.421,22.85
13,Yellowtail Scad,184,3.268,27.48,13.55,41.03,1.504,27.29,1.049,0.0328
14,Cuttlefish,45184,3.249,27.37,23.86,51.22,0.863,59.32,1.31,0.252
15,Trevallies,6524,3.259,270.8,165.6,436.4,46.54,9.378,11.16,0.0118
16,Flounders,13184,3.189,656.3,587.9,1244,24.41,50.97,31.82,0.0926
17,Pink Snapper adult,209,3.044,0.5,2.086,2.586,0.724,3.573,0.0661,0.00192
18,Pink Snapper pre-spawner,15204,3.028,0.531,2.177,2.709,0.839,3.228,0.0693,0.00372
19,King George Whiting,115,3.002,3.291,13.29,16.58,10.82,1.533,0.424,0.00447
20,Whiting Species,67,3.001,97.57,552,649.5,337.4,1.925,16.61,0.00803
21,Small pelagics,23,3.052,666.3,0,666.3,57.95,11.5,17.04,0.0238
22,Western Australian Octopus,7864,2.906,18.54,16.41,34.95,0.632,55.28,0.894,0.103
23,Grunters,8000,2.88,389.3,348.9,738.2,8.591,85.93,18.88,0.171
24,Pipefishes,37,2.886,6.386,0.733,7.119,2.882,2.47,0.182,0.02
25,Gurnards,14,2.861,2.086,8.337,10.42,2.259,4.614,0.267,0.014
26,Weedfish,136,2.659,4.32,22.46,26.78,4.022,6.659,0.685,0.031
27,Soldiers,20,2.639,2.105,2.375,4.479,5.651,0.793,0.115,0.00128
28,PInk Snapper ÿjuvenile,149,2.545,0.18,0.511,0.691,0.294,2.35,0.0177,0.00403
29,Other seabirds,92,2.617,0.0558,0.0829,0.139,0.0189,7.355,0.00355,0.0709
30,Rays,7770,2.467,134.5,116.1,250.7,27.9,8.984,6.411,0.00947
31,Dragonets,8,2.59,14.97,62.02,76.99,31.33,2.458,1.969,0.0143
32,Southern Garfish,4249,2.557,40.46,33.1,73.56,3.879,18.96,1.881,0.066
33,Wrasses,7080,2.402,113.2,103.5,216.7,9.35,23.18,5.542,0.0682
